SessionID,Name,Description,Line,Column,ParentFile,TopLevelCategory,Code
9672d284-b203-4768-90fb-39c1c02004ff,SetTableNotSupported,** MSC-WARNING - MSCEWI2015 - SET TABLE FUNCTIONALITY NOT SUPPORTED. TABLE MIGHT HAVE DUPLICATE ROWS **,11333,0,Table_DDL_accross_Databases.sql,No category specified,MSCEWI2015
9672d284-b203-4768-90fb-39c1c02004ff,SetTableNotSupported,** MSC-WARNING - MSCEWI2015 - SET TABLE FUNCTIONALITY NOT SUPPORTED. TABLE MIGHT HAVE DUPLICATE ROWS **,11944,0,Table_DDL_accross_Databases.sql,No category specified,MSCEWI2015
9672d284-b203-4768-90fb-39c1c02004ff,SetTableNotSupported,** MSC-WARNING - MSCEWI2015 - SET TABLE FUNCTIONALITY NOT SUPPORTED. TABLE MIGHT HAVE DUPLICATE ROWS **,14818,0,Table_DDL_accross_Databases.sql,No category specified,MSCEWI2015
9672d284-b203-4768-90fb-39c1c02004ff,SetTableNotSupported,** MSC-WARNING - MSCEWI2015 - SET TABLE FUNCTIONALITY NOT SUPPORTED. TABLE MIGHT HAVE DUPLICATE ROWS **,15088,0,Table_DDL_accross_Databases.sql,No category specified,MSCEWI2015
9672d284-b203-4768-90fb-39c1c02004ff,SetTableNotSupported,** MSC-WARNING - MSCEWI2015 - SET TABLE FUNCTIONALITY NOT SUPPORTED. TABLE MIGHT HAVE DUPLICATE ROWS **,15435,0,Table_DDL_accross_Databases.sql,No category specified,MSCEWI2015
9672d284-b203-4768-90fb-39c1c02004ff,SetTableNotSupported,** MSC-WARNING - MSCEWI2015 - SET TABLE FUNCTIONALITY NOT SUPPORTED. TABLE MIGHT HAVE DUPLICATE ROWS **,18178,0,Table_DDL_accross_Databases.sql,No category specified,MSCEWI2015
9672d284-b203-4768-90fb-39c1c02004ff,SetTableNotSupported,** MSC-WARNING - MSCEWI2015 - SET TABLE FUNCTIONALITY NOT SUPPORTED. TABLE MIGHT HAVE DUPLICATE ROWS **,18225,0,Table_DDL_accross_Databases.sql,No category specified,MSCEWI2015
9672d284-b203-4768-90fb-39c1c02004ff,SetTableNotSupported,** MSC-WARNING - MSCEWI2015 - SET TABLE FUNCTIONALITY NOT SUPPORTED. TABLE MIGHT HAVE DUPLICATE ROWS **,18315,0,Table_DDL_accross_Databases.sql,No category specified,MSCEWI2015
9672d284-b203-4768-90fb-39c1c02004ff,SetTableNotSupported,** MSC-WARNING - MSCEWI2015 - SET TABLE FUNCTIONALITY NOT SUPPORTED. TABLE MIGHT HAVE DUPLICATE ROWS **,18393,0,Table_DDL_accross_Databases.sql,No category specified,MSCEWI2015
9672d284-b203-4768-90fb-39c1c02004ff,SetTableNotSupported,** MSC-WARNING - MSCEWI2015 - SET TABLE FUNCTIONALITY NOT SUPPORTED. TABLE MIGHT HAVE DUPLICATE ROWS **,18411,0,Table_DDL_accross_Databases.sql,No category specified,MSCEWI2015
9672d284-b203-4768-90fb-39c1c02004ff,SetTableNotSupported,** MSC-WARNING - MSCEWI2015 - SET TABLE FUNCTIONALITY NOT SUPPORTED. TABLE MIGHT HAVE DUPLICATE ROWS **,18459,0,Table_DDL_accross_Databases.sql,No category specified,MSCEWI2015
9672d284-b203-4768-90fb-39c1c02004ff,SetTableNotSupported,** MSC-WARNING - MSCEWI2015 - SET TABLE FUNCTIONALITY NOT SUPPORTED. TABLE MIGHT HAVE DUPLICATE ROWS **,18485,0,Table_DDL_accross_Databases.sql,No category specified,MSCEWI2015
